Date, Open, High, Low, Close, Return
01/09/2022 00:00:00,3994.66,4018.43,3906.21,3924.26,70.4
05/09/2022 00:00:00,3930.89,3942.55,3886.75,3908.19,22.7
06/09/2022 00:00:00,3909.43,3987.89,3906.03,3979.87,-70.44
07/09/2022 00:00:00,3959.94,4010.5,3944.81,4006.18,-46.24
08/09/2022 00:00:00,4022.94,4076.81,4022.94,4067.36,-44.42
11/09/2022 00:00:00,4083.67,4119.28,4083.67,4110.41,-26.74
12/09/2022 00:00:00,4037.12,4037.12,3921.28,3932.69,104.43
13/09/2022 00:00:00,3940.73,3961.94,3912.18,3946.01,-5.28
14/09/2022 00:00:00,3932.41,3959.14,3888.28,3901.35,31.06
15/09/2022 00:00:00,3880.95,3880.95,3837.08,3873.33,7.62
18/09/2022 00:00:00,3849.91,3900.45,3838.5,3899.89,-49.98
19/09/2022 00:00:00,3875.23,3876.01,3827.54,3855.93,19.3
20/09/2022 00:00:00,3871.4,3907.07,3789.49,3789.93,81.47
21/09/2022 00:00:00,3782.36,3790.9,3749.45,3757.99,24.37
22/09/2022 00:00:00,3727.14,3727.14,3647.47,3693.23,33.91
25/09/2022 00:00:00,3682.72,3715.67,3644.76,3655.04,27.68
26/09/2022 00:00:00,3686.44,3717.53,3623.29,3647.29,39.15
27/09/2022 00:00:00,3651.94,3736.74,3640.61,3719.04,-67.1
28/09/2022 00:00:00,3687.01,3687.01,3610.4,3640.47,46.54
29/09/2022 00:00:00,3633.48,3671.44,3584.13,3585.62,47.86
02/10/2022 00:00:00,3609.78,3698.35,3604.93,3678.43,-68.65
03/10/2022 00:00:00,3726.46,3791.92,3726.46,3790.93,-64.47
04/10/2022 00:00:00,3753.25,3806.91,3722.66,3783.28,-30.03
05/10/2022 00:00:00,3771.97,3797.93,3739.22,3744.52,27.45
06/10/2022 00:00:00,3706.74,3706.74,3620.73,3639.66,67.08
09/10/2022 00:00:00,3647.51,3652.17,3588.1,3612.39,35.12
10/10/2022 00:00:00,3595.86,3640.66,3568.45,3588.84,7.02
11/10/2022 00:00:00,3590.83,3608.34,3573.86,3577.03,13.8
12/10/2022 00:00:00,3520.37,3685.41,3491.58,3669.91,-149.54
13/10/2022 00:00:00,3690.41,3712,3579.68,3583.07,107.34
16/10/2022 00:00:00,3638.65,3689.73,3638.65,3677.95,-39.3
17/10/2022 00:00:00,3746.26,3762.79,3686.53,3719.98,26.28
18/10/2022 00:00:00,3703.11,3728.58,3666.51,3695.16,7.95
19/10/2022 00:00:00,3689.05,3736,3656.44,3665.78,23.27
20/10/2022 00:00:00,3657.1,3757.89,3647.42,3752.75,-95.65
23/10/2022 00:00:00,3762.01,3810.74,3741.65,3797.34,-35.33
24/10/2022 00:00:00,3799.44,3862.85,3799.44,3859.11,-59.67
25/10/2022 00:00:00,3825.97,3886.15,3824.07,3830.6,-4.63
26/10/2022 00:00:00,3834.69,3859.95,3803.79,3807.3,27.39
27/10/2022 00:00:00,3808.26,3905.42,3808.26,3901.06,-92.8
30/10/2022 00:00:00,3881.85,3893.73,3863.18,3871.98,9.87
31/10/2022 00:00:00,3901.79,3911.79,3843.8,3856.1,45.69
01/11/2022 00:00:00,3852.9,3894.44,3758.68,3759.69,93.21
02/11/2022 00:00:00,3733.25,3750.59,3698.15,3719.89,13.36
03/11/2022 00:00:00,3766.98,3796.34,3708.84,3770.55,-3.57
06/11/2022 00:00:00,3780.71,3813.95,3764.7,3806.8,-26.09
07/11/2022 00:00:00,3817.02,3859.4,3786.28,3828.11,-11.09
08/11/2022 00:00:00,3810.94,3818.2,3744.22,3748.57,62.37
09/11/2022 00:00:00,3859.89,3958.33,3859.89,3956.37,-96.48
10/11/2022 00:00:00,3963.72,4001.48,3944.82,3992.93,-29.21
13/11/2022 00:00:00,3977.97,4008.97,3956.4,3957.25,20.72
14/11/2022 00:00:00,4006.41,4028.84,3953.17,3991.73,14.68
15/11/2022 00:00:00,3976.82,3983.09,3954.34,3958.79,18.03
16/11/2022 00:00:00,3919.26,3954.33,3906.54,3946.56,-27.3
17/11/2022 00:00:00,3966.39,3979.89,3935.98,3965.34,1.05
20/11/2022 00:00:00,3956.23,3962,3933.34,3949.94,6.29
